edition;report_type;measure_name;state_name;rank;value;score;lower_CI;upper_CI;source
2022;2022 Senior;Air and Water Quality - Senior;Alabama;29;0.27;0.27;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Arkansas;18;0.48;0.48;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Arizona;42;-0.18;-0.18;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;California;49;-0.82;-0.82;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Colorado;14;0.6;0.6;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Connecticut;19;0.475;0.475;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Delaware;31;0.21;0.21;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Florida;30;0.23;0.23;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Georgia;27;0.29;0.29;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Hawaii;1;1.18;1.18;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Iowa;21;0.43;0.43;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Idaho;20;0.46;0.46;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Illinois;43;-0.245;-0.245;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Indiana;37;-0.035;-0.035;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Kansas;34;0.015;0.015;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Kentucky;25;0.335;0.335;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Louisiana;38;-0.04;-0.04;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Massachusetts;15;0.585;0.585;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Maryland;13;0.68;0.68;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Maine;1;1.18;1.18;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Michigan;28;0.285;0.285;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Minnesota;23;0.4;0.4;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Missouri;24;0.385;0.385;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Mississippi;50;-0.935;-0.935;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Montana;8;1.01;1.01;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;North Carolina;12;0.71;0.71;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;North Dakota;1;1.18;1.18;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Nebraska;9;0.82;0.82;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;New Hampshire;5;1.135;1.135;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;New Jersey;48;-0.81;-0.81;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;New Mexico;31;0.21;0.21;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Nevada;40;-0.155;-0.155;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;New York;10;0.785;0.785;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Ohio;33;0.095;0.095;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Oklahoma;44;-0.395;-0.395;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Oregon;41;-0.165;-0.165;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Pennsylvania;35;0.005;0.005;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Rhode Island;15;0.585;0.585;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;South Carolina;17;0.555;0.555;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;South Dakota;4;1.16;1.16;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Tennessee;22;0.415;0.415;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Texas;39;-0.065;-0.065;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Utah;26;0.305;0.305;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Virginia;11;0.725;0.725;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Vermont;7;1.115;1.115;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Washington;35;0.005;0.005;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Wisconsin;46;-0.475;-0.475;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;West Virginia;47;-0.625;-0.625;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;Wyoming;5;1.135;1.135;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;United States;;;;;;AHR data
2022;2022 Senior;Air and Water Quality - Senior;District of Columbia;;;;;;AHR data
2022;2022 Senior;Air Pollution;Alaska;16;6.8;-0.94;;;AHR data
2022;2022 Senior;Air Pollution;Alabama;33;7.8;-0.31;;;AHR data
2022;2022 Senior;Air Pollution;Arkansas;23;7.2;-0.69;;;AHR data
2022;2022 Senior;Air Pollution;Arizona;46;9.1;0.5;;;AHR data
2022;2022 Senior;Air Pollution;California;50;13.3;2;;;AHR data
2022;2022 Senior;Air Pollution;Colorado;18;6.9;-0.88;;;AHR data
2022;2022 Senior;Air Pollution;Connecticut;27;7.3;-0.63;;;AHR data
2022;2022 Senior;Air Pollution;Delaware;39;8.2;-0.06;;;AHR data
2022;2022 Senior;Air Pollution;Florida;23;7.2;-0.69;;;AHR data
2022;2022 Senior;Air Pollution;Georgia;33;7.8;-0.31;;;AHR data
2022;2022 Senior;Air Pollution;Hawaii;2;4.3;-2;;;AHR data
2022;2022 Senior;Air Pollution;Iowa;28;7.5;-0.5;;;AHR data
2022;2022 Senior;Air Pollution;Idaho;9;6.1;-1.38;;;AHR data
2022;2022 Senior;Air Pollution;Illinois;49;9.6;0.81;;;AHR data
2022;2022 Senior;Air Pollution;Indiana;45;8.7;0.25;;;AHR data
2022;2022 Senior;Air Pollution;Kansas;30;7.6;-0.44;;;AHR data
2022;2022 Senior;Air Pollution;Kentucky;33;7.8;-0.31;;;AHR data
2022;2022 Senior;Air Pollution;Louisiana;31;7.7;-0.38;;;AHR data
2022;2022 Senior;Air Pollution;Massachusetts;19;7.0;-0.81;;;AHR data
2022;2022 Senior;Air Pollution;Maryland;15;6.7;-1;;;AHR data
2022;2022 Senior;Air Pollution;Maine;6;5.0;-2;;;AHR data
2022;2022 Senior;Air Pollution;Michigan;36;7.9;-0.25;;;AHR data
2022;2022 Senior;Air Pollution;Minnesota;16;6.8;-0.94;;;AHR data
2022;2022 Senior;Air Pollution;Missouri;28;7.5;-0.5;;;AHR data
2022;2022 Senior;Air Pollution;Mississippi;38;8.1;-0.13;;;AHR data
2022;2022 Senior;Air Pollution;Montana;8;5.5;-1.75;;;AHR data
2022;2022 Senior;Air Pollution;North Carolina;14;6.6;-1.06;;;AHR data
2022;2022 Senior;Air Pollution;North Dakota;4;4.8;-2;;;AHR data
2022;2022 Senior;Air Pollution;Nebraska;11;6.2;-1.32;;;AHR data
2022;2022 Senior;Air Pollution;New Hampshire;2;4.3;-2;;;AHR data
2022;2022 Senior;Air Pollution;New Jersey;31;7.7;-0.38;;;AHR data
2022;2022 Senior;Air Pollution;New Mexico;9;6.1;-1.38;;;AHR data
2022;2022 Senior;Air Pollution;Nevada;48;9.3;0.63;;;AHR data
2022;2022 Senior;Air Pollution;New York;12;6.3;-1.25;;;AHR data
2022;2022 Senior;Air Pollution;Ohio;41;8.5;0.13;;;AHR data
2022;2022 Senior;Air Pollution;Oklahoma;40;8.4;0.06;;;AHR data
2022;2022 Senior;Air Pollution;Oregon;47;9.2;0.56;;;AHR data
2022;2022 Senior;Air Pollution;Pennsylvania;41;8.5;0.13;;;AHR data
2022;2022 Senior;Air Pollution;Rhode Island;19;7.0;-0.81;;;AHR data
2022;2022 Senior;Air Pollution;South Carolina;21;7.1;-0.75;;;AHR data
2022;2022 Senior;Air Pollution;South Dakota;7;5.1;-2;;;AHR data
2022;2022 Senior;Air Pollution;Tennessee;23;7.2;-0.69;;;AHR data
2022;2022 Senior;Air Pollution;Texas;41;8.5;0.13;;;AHR data
2022;2022 Senior;Air Pollution;Utah;36;7.9;-0.25;;;AHR data
2022;2022 Senior;Air Pollution;Virginia;13;6.5;-1.13;;;AHR data
2022;2022 Senior;Air Pollution;Vermont;5;4.9;-2;;;AHR data
2022;2022 Senior;Air Pollution;Washington;41;8.5;0.13;;;AHR data
2022;2022 Senior;Air Pollution;Wisconsin;23;7.2;-0.69;;;AHR data
2022;2022 Senior;Air Pollution;West Virginia;21;7.1;-0.75;;;AHR data
2022;2022 Senior;Air Pollution;Wyoming;1;4.2;-2;;;AHR data
2022;2022 Senior;Air Pollution;United States;;8.3;;;;AHR data
2022;2022 Senior;Air Pollution;District of Columbia;;8.7;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Alabama;20;3.9;-0.33;5;2.8;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Alaska;44;5.3;1.23;7.3;3.3;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Arizona;17;3.8;-0.45;4.7;2.9;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Arkansas;48;5.7;1.67;7.1;4.4;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;California;2;2.8;-1.56;3.8;1.9;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Colorado;25;4.1;-0.11;5;3.2;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Connecticut;1;2.3;-2;3.1;1.5;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Delaware;32;4.3;0.11;5.9;2.7;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;District of Columbia;;4.8;;6.5;3.1;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Florida;20;3.9;-0.33;4.8;3;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Georgia;45;5.4;1.34;6.9;4;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Hawaii;28;4.2;0;5.7;2.7;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Idaho;17;3.8;-0.45;5.1;2.5;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Illinois;50;6;2;8.1;3.9;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Indiana;15;3.6;-0.67;4.4;2.8;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Iowa;5;2.9;-1.45;3.7;2.1;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Kansas;2;2.8;-1.56;3.5;2.1;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Kentucky;32;4.3;0.11;5.8;2.7;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Louisiana;45;5.4;1.34;7.4;3.3;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Maine;8;3.1;-1.23;3.9;2.3;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Maryland;14;3.5;-0.78;4.3;2.8;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Massachusetts;32;4.3;0.11;5.4;3.2;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Michigan;16;3.7;-0.56;4.7;2.7;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Minnesota;5;2.9;-1.45;3.5;2.3;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Mississippi;49;5.8;1.78;7.1;4.5;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Missouri;25;4.1;-0.11;5.1;3.2;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Montana;13;3.4;-0.89;4.3;2.5;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Nebraska;8;3.1;-1.23;3.8;2.4;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Nevada;37;4.6;0.45;7;2.2;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;New Hampshire;38;4.7;0.56;5.8;3.6;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;New Jersey;41;4.9;0.78;6.1;3.7;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;New Mexico;8;3.1;-1.23;4.1;2.2;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;New York;47;5.6;1.56;6.8;4.4;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;North Carolina;35;4.4;0.22;5.7;3.1;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;North Dakota;2;2.8;-1.56;3.7;1.9;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Ohio;28;4.2;0;5;3.4;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Oklahoma;39;4.8;0.67;6;3.6;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Oregon;23;4;-0.22;5.3;2.7;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Pennsylvania;28;4.2;0;5.5;2.9;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Rhode Island;8;3.1;-1.23;4.2;2;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;South Carolina;42;5;0.89;6.4;3.6;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;South Dakota;7;3;-1.34;4.4;1.7;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Tennessee;39;4.8;0.67;6.4;3.2;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Texas;43;5.2;1.11;6.8;3.6;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Utah;23;4;-0.22;4.9;3.1;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Vermont;20;3.9;-0.33;5.1;2.8;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Virginia;17;3.8;-0.45;4.7;2.9;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Washington;25;4.1;-0.11;5;3.2;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;West Virginia;36;4.5;0.33;5.6;3.4;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Wisconsin;12;3.3;-1;4.4;2.2;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;Wyoming;28;4.2;0;5.4;3;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+;United States;;4.2;;4.5;4;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Alabama;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Alaska;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Arizona;;3.3;;5;1.6;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Arkansas;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;California;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Colorado;;4.1;;6.2;1.9;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Connecticut;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Delaware;;5.6;;8.7;2.5;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;District of Columbia;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Florida;;3.8;;5.7;1.9;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Georgia;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Hawaii;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Idaho;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Illinois;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Indiana;;4.8;;6.7;2.9;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Iowa;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Kansas;;2.4;;3.6;1.1;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Kentucky;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Louisiana;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Maine;;3.1;;4.6;1.6;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Maryland;;4.1;;6;2.2;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Massachusetts;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Michigan;;4;;5.9;2.1;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Minnesota;;2.8;;3.8;1.8;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Mississippi;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Missouri;;4.7;;6.5;2.8;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Montana;;3.6;;5.4;1.9;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Nebraska;;3;;4.2;1.8;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;Nevada;;;;;;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;New Hampshire;;5.8;;8.1;3.5;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;New Jersey;;5.6;;8.7;2.5;AHR data
2022;2022 Senior;Avoided Care Due to Cost - Ages 65+ - $25-$49,999;New Mexico;;2.8;;4.5;1.2;AHR data
